--- asteroids vs asteroids ---
7 13 0.00295105 0.188025
7 14 0.00363246 -0.14952
7 15 0.005537 0.780609
7 16 0.00376296 0.752391
7 17 0.00606016 0.379081
7 18 0.00232971 0.0143226
7 19 0.00236431 0.710243
7 20 0.025652 0.0536666
7 21 0.00224294 0.578919
7 22 0.00140766 0.0519365
7 23 0.00530994 0.446134
7 24 0.00637945 -0.31143
7 25 0.00490455 0.236638
7 26 0.0200922 -0.513439
7 27 0.0056839 -0.295366
7 28 0.0345546 -0.182393
7 29 0.00689223 0.185529
7 30 0.00217529 0.731936
7 31 0.00274332 0.651613
7 32 0.0332122 -0.251818
7 33 0.0026218 0.558526
7 34 0.0108971 -0.363603
7 35 0.0193206 -0.416039
7 36 0.00258435 0.551332
7 37 0.00813778 -0.162948
7 38 0.00555687 0.292042
7 39 0.00242267 0.41345
7 40 0.00354814 -0.766642
7 41 0.00619871 -0.235164
7 42 0.0179342 -0.523815
7 43 0.0188806 0.0488574
7 44 0.00280249 -0.752277
7 45 0.00307962 -0.691915
7 46 0.0140996 -0.600178
7 47 0.00197129 0.783344
7 48 0.00379264 0.568967
7 49 0.00463752 0.67489
7 50 0.00311984 0.199133
7 51 0.00282949 0.235928
7 52 0.0103688 0.410334
7 53 0.00288898 0.256953
7 54 0.129785 0.448756
7 55 0.00209321 -0.202369
7 56 0.00982804 0.0701274
7 57 0.0109668 0.022621
7 58 0.00289308 0.217665
7 59 0.00996019 -0.222332
7 60 0.00202698 0.677352
7 61 0.00399157 0.312262
7 62 0.00357269 0.40893
7 63 0.00161314 0.141397
7 64 0.00553658 -0.233978
7 65 0.00348888 0.198573
7 66 0.0201773 0.7544
7 67 0.00246594 -0.321305
7 68 0.00162978 0.0130839
7 69 0.0027115 0.590481
7 70 0.00215621 0.614897
7 71 0.00220872 0.385649
7 72 0.00632439 -0.142327
7 73 0.220822 0.0266157
7 74 0.00532762 0.158853
7 75 0.00219393 0.710996
7 76 0.0114696 0.425045
7 77 0.0944834 -0.482185
7 78 0.00244974 0.729329
7 79 0.00496853 0.0896632
7 80 0.0219359 0.195718
7 81 0.00462645 0.546692
7 82 0.00276769 0.447848
7 83 0.00438973 0.663376
7 84 0.00280196 -0.3364
7 85 0.00746274 0.145688
7 86 0.00219442 0.66121
7 87 0.00443825 0.298943
7 88 0.00198797 0.610219
7 89 0.00549972 -0.73173
7 90 0.00188353 0.10735
7 91 0.00275577 0.51805
7 92 0.00473792 0.199018
7 93 0.0117856 -0.486166
7 94 0.0216284 0.601216
7 95 0.00232341 0.591266
7 96 0.00738199 0.425372
7 97 0.00333133 0.255129
7 98 0.00388888 0.170979
7 99 0.0128412 0.559638
8 9 0.00367533 0.616336
8 10 0.00182556 0.410679
8 11 0.0147121 0.338062
8 12 0.0373056 0.521778
8 13 0.00290211 0.670545
8 14 0.00544203 0.00148794
8 15 0.0042051 -0.696796
8 16 0.00306705 0.781641
8 17 0.00744791 0.657984
8 18 0.00238596 0.397802
8 19 0.00248474 0.212496
8 20 0.0160703 0.0957073
8 21 0.00246671 0.749319
8 22 0.00144955 0.362035
8 23 0.00625277 0.70319
8 24 0.00436946 -0.700145
8 25 0.00644456 0.476129
8 26 0.00979726 -0.602927
8 27 0.00999051 -0.131482
8 28 0.0147096 -0.418496
8 29 0.00956673 0.459417
8 30 0.00227355 0.24422
8 31 0.00293864 0.106242
8 32 0.0137654 -0.462512
8 33 0.00229224 0.640754
8 34 0.00677472 -0.503051
8 35 0.0091458 -0.269056
8 36 0.00287202 0.729243
8 37 0.0152181 0.104945
8 38 0.00716263 0.556764
8 39 0.0023379 0.117054
8 40 0.00274621 -0.602927
8 41 0.0109209 -0.0423458
8 42 0.00894747 -0.346905
8 43 0.0114856 -0.018515
8 44 0.00222196 -0.664021
8 45 0.00241095 -0.605004
8 46 0.00843009 -0.244519
8 47 0.0018536 0.768985
8 48 0.00419312 0.783207
8 49 0.00410829 0.301877
8 50 0.0040094 0.381696
8 51 0.00354735 0.408514
8 52 0.0068728 -0.49979
8 53 0.00283447 0.707178
8 54 0.0612479 -0.0733817
8 55 0.00169675 -0.539269
8 56 0.0154476 0.388599
8 57 0.00716126 -0.615116
8 58 0.00365769 0.390795
8 59 0.0201373 0.0479059
8 60 0.00215621 0.123242
